language	r	p	range
Afrikaans	-0.2198142414860681	0.37922185497350785	18.0
Akkadian	-0.7727272727272727	0.008061662796587873	11.0
Amharic	-0.9999999999999998	0.016666666666666666	5.0
Ancient_Greek	-0.5087521174477696	0.01682301707876534	22.0
Arabic	0.7651044607566345	5.1099249227391146e-05	22.0
Armenian	0.512087912087912	0.06408235666081205	14.0
Bambara	-0.7666666666666667	0.02138999118165785	9.0
Basque	0.4357142857142856	0.10627700921973769	15.0
Belarusian	0.5363636363636364	0.013402414872657361	21.0
Breton	-0.2833333333333333	0.46299052028218696	9.0
Bulgarian	0.6725014116318464	0.0008272857872827486	22.0
Buryat	-0.4	0.2911926807760141	9.0
Cantonese	0.41818181818181815	0.23241809825050344	10.0
Catalan	0.19124839124839127	0.2627650443972846	36.0
Chinese	0.37293233082706767	0.10607459393215551	20.0
Classical_Chinese	0.8461538461538463	0.0004353509991645837	13.0
Coptic	-0.42857142857142866	0.2992063492063492	8.0
Croatian	0.6867588932806324	0.0004199277534761513	23.0
Czech	0.796911196911197	2.4366330889872756e-07	36.0
Danish	0.4406015037593985	0.05329277417035149	20.0
Dutch	0.5207692307692308	0.008403105793379887	25.0
English	0.7039072039072038	6.547851498228761e-05	28.0
Erzya	-0.8095238095238095	0.02177579365079365	8.0
Estonian	0.6596491228070176	0.002729064373351075	19.0
Faroese	0.038461538461538464	0.9062021238782845	13.0
Finnish	0.6160990712074303	0.007674227942527325	18.0
French	0.2650293255131965	0.14240800433264272	32.0
Galician	-0.029556650246305417	0.8815863991862576	28.0
German	0.2829131652661065	0.09971936761484419	35.0
Gothic	-0.12087912087912088	0.6817682306946782	14.0
Greek	-0.27543859649122804	0.25272771741898586	19.0
Hebrew	0.17017543859649126	0.48452113381934686	19.0
Hindi	0.6779220779220779	1.7771623171979707e-05	34.0
Hungarian	0.5684210526315789	0.012475276740010859	19.0
Icelandic	0.692391899288451	6.895481401197358e-05	28.0
Indonesian	-0.8873517786561266	3.0233866891303906e-06	23.0
Irish	0.7312252964426876	0.00011334171977194938	23.0
Italian	0.521466768525592	0.0018078002329595063	34.0
Japanese	-0.2507692307692308	0.22567496404902798	25.0
Kazakh	0.9761904761904763	0.0003968253968253968	8.0
Kiche	-0.9761904761904763	0.0003968253968253968	8.0
Komi_Zyrian	-0.8333333333333335	0.015376984126984126	8.0
Korean	-0.681372549019608	0.003405976448989407	17.0
Kurmanji	-0.15454545454545454	0.6535389379592635	11.0
Latin	-0.4600806451612903	0.009854358639491074	31.0
Latvian	0.6578947368421053	0.0028223146777009217	19.0
Lithuanian	0.2967032967032967	0.30242722991434845	14.0
Maltese	-0.1107142857142857	0.6952760988514762	15.0
Manx	-0.47878787878787876	0.1660580371793479	10.0
North_Sami	0.3454545454545454	0.33054946599249563	10.0
Norwegian	0.7552136752136751	1.429510856881263e-05	26.0
Old_Church_Slavonic	-0.7032967032967032	0.009556640507870813	13.0
Old_East_Slavic	0.17142857142857143	0.4682158812229442	20.0
Old_French	-0.3137254901960785	0.21965486658078795	17.0
Persian	0.4261083743842364	0.0220388747344233	29.0
Polish	0.6804065499717673	0.0006834384679538256	22.0
Portuguese	-0.1928152492668622	0.2891026929780135	34.0
Romanian	0.8837976539589444	1.3130986748870108e-07	32.0
Russian	0.7099069512862616	3.777883686205557e-05	28.0
Sanskrit	-0.6363636363636362	0.054445067937541794	10.0
Scottish_Gaelic	0.6877192982456141	0.001546167733228414	19.0
Serbian	0.687218045112782	0.0011195928283841662	20.0
Slovak	0.5499999999999999	0.02957777048252343	16.0
Slovenian	0.9082706766917293	2.424756366395679e-06	20.0
Spanish	0.21716453295400662	0.19598470939356963	37.0
Swedish	0.5922077922077922	0.005491770114534774	21.0
Tamil	-0.32121212121212117	0.36768399915849753	10.0
Thai	0.15164835164835164	0.6050722035830599	14.0
Turkish	0.14586466165413534	0.5380138224047011	20.0
Turkish_German	-0.9516483516483516	0.0	14.0
Ukrainian	0.6877192982456141	0.001546167733228414	19.0
Upper_Sorbian	0.29696969696969694	0.40695022737565795	11.0
Urdu	0.4865406006674082	0.006989306893378927	30.0
Uyghur	-0.08391608391608392	0.8001975179523347	12.0
Vietnamese	-0.4523809523809525	0.26746031746031745	8.0
Welsh	0.46323529411764713	0.06299402588982388	17.0
Western_Armenian	0.38021978021978026	0.180763664202653	14.0
Wolof	0.5329670329670331	0.06416218074634468	13.0
